id,case_type_name,category,fee_type,valuation_method,default_formula,slab_applicable,market_value_required,share_based,annual_rent_based,agreement_value_based,fixed_fee_default,notes
1,Money Recovery Suit,civil,slab,suit_value,ad_valorem_progressive,TRUE,TRUE,FALSE,FALSE,FALSE,0,"Standard suit for recovery of money. Fee calculated ad valorem on claimed amount. Section 7(i) of CFA."
2,Commercial Suit,commercial,slab,suit_value,ad_valorem_progressive,TRUE,TRUE,FALSE,FALSE,FALSE,0,"Covered under Commercial Courts Act 2015. Specified value includes principal+interest+damages+penalty. Fee same as regular suit."
3,Divorce Petition,family,fixed,fixed,flat_fee,FALSE,FALSE,FALSE,FALSE,FALSE,150,"Section 7 of Family Courts Act read with Schedule II. Fixed fee ₹150 in most states."
4,Bail Application,criminal,fixed,fixed,flat_fee,FALSE,FALSE,FALSE,FALSE,FALSE,100,"Criminal application. Fixed fee ₹100 in most states. Schedule II Article 1."
5,Writ Petition,constitutional,fixed,fixed,flat_fee,FALSE,FALSE,FALSE,FALSE,FALSE,500,"Constitutional remedy under Article 226/227. Fixed fee ₹500 in most states."
6,Partition Suit,civil,slab,share_value,share_based_progressive,TRUE,TRUE,TRUE,FALSE,FALSE,0,"Valued on plaintiff's share of property. Section 7(iv)(b) of CFA."
7,Specific Performance,civil,slab,agreement_value,ad_valorem_progressive,TRUE,TRUE,FALSE,FALSE,TRUE,0,"Valued on agreement/consideration value. Section 7(x) of CFA."
8,Declaration Suit,civil,slab,market_value,ad_valorem_progressive,TRUE,TRUE,FALSE,FALSE,FALSE,0,"Valued on market value of property/right. Section 7(iv)(c) of CFA."
9,Injunction Suit,civil,slab,relief_value,ad_valorem_progressive,TRUE,TRUE,FALSE,FALSE,FALSE,0,"Valued on plaintiff's estimation. Section 7(iv)(d) of CFA."
10,Possession Suit,civil,slab,market_value,ad_valorem_progressive,TRUE,TRUE,FALSE,FALSE,FALSE,0,"Valued on market value of property. Section 7(v) of CFA."
11,Arbitration Petition,commercial,fixed,dispute_value,flat_fee,FALSE,FALSE,FALSE,FALSE,FALSE,650,"Under Arbitration Act 1996. Fixed fee ₹650 under Schedule II."
12,Commercial Appeal,commercial,slab,appeal_value,ad_valorem_progressive,TRUE,TRUE,FALSE,FALSE,FALSE,0,"Appeal from commercial court. Same fee as original suit."
13,Execution Petition,civil,slab,decree_amount,ad_valorem_progressive,TRUE,TRUE,FALSE,FALSE,FALSE,0,"For execution of decree. Valued on decree amount. Section 7(xii) of CFA."
14,Probate Petition,succession,percentage,estate_value,percentage_of_value,FALSE,TRUE,FALSE,FALSE,FALSE,0,"Probate fee typically 2.5% of estate value. Section 19-H of CFA."
15,Succession Certificate,succession,percentage,debt_value,percentage_of_value,FALSE,TRUE,FALSE,FALSE,FALSE,0,"Fee typically 2.5% of debt value. Part X of CFA."
16,Rent Petition,civil,slab,annual_rent,annual_rent_based,FALSE,FALSE,FALSE,TRUE,FALSE,0,"Valued on annual rent. Section 7(xi)(cc) of CFA."
17,Consumer Complaint,consumer,fixed,claim_value,flat_fee_with_slab,TRUE,TRUE,FALSE,FALSE,FALSE,0,"Fee under Consumer Protection Act 2019. Separate slab structure."
18,Company Petition,corporate,fixed,paid_up_capital,flat_fee,FALSE,FALSE,FALSE,FALSE,FALSE,500,"Under Companies Act 2013. Fixed fee varies by petition type."
