state_id,state_name,specified_value_threshold,include_principal,include_interest,include_damages,include_penalty,arbitration_section_9_fee,arbitration_section_11_fee,arbitration_section_34_fee,arbitration_section_37_fee,commercial_appeal_fee_type,commercial_appeal_same_as_original,notes
1,Delhi,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Commercial Courts Act 2015 threshold ₹3L (amended 2018 from ₹1L). Fees same as regular suits."
2,Maharashtra,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Bombay High Court commercial fee rules. No separate commercial fee schedule."
3,Karnataka,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Karnataka commercial courts follow regular fee structure."
4,Tamil Nadu,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Madras High Court commercial division matters."
5,Uttar Pradesh,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,total_pct,TRUE,"UP applies its percentage-based system to commercial suits too."
6,Kerala,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Kerala commercial courts follow regular fee."
7,Gujarat,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Gujarat commercial disputes follow regular court fee."
8,Rajasthan,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Rajasthan commercial courts."
9,Haryana,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Haryana commercial courts."
10,Punjab,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Punjab commercial courts."
11,West Bengal,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Calcutta High Court commercial division."
12,Telangana,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Telangana commercial courts."
13,Andhra Pradesh,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"AP commercial courts."
14,Madhya Pradesh,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"MP commercial courts."
15,Bihar,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Bihar commercial courts."
16,Odisha,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Odisha commercial courts."
17,Assam,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Assam commercial courts."
18,Jharkhand,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Jharkhand commercial courts."
19,Chhattisgarh,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Chhattisgarh commercial courts."
20,Goa,300000,TRUE,TRUE,TRUE,TRUE,650,650,650,650,slab,TRUE,"Goa commercial courts."
